City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
157,colonia,50.9333,6.95,68.95,54,0,2.3,DE,23/07/22
158,holly springs,35.6513,-78.8336,84.99,70,45,3.0,US,23/07/22
159,maryborough,-25.5333,152.7,49.5,78,0,4.18,AU,23/07/22
160,siguiri,11.6667,-9.5,77.65,82,88,5.1,GN,23/07/22
161,al muwayh,22.4333,41.7583,83.84,21,61,12.66,SA,23/07/22
162,altamira,-3.2033,-52.2064,91.49,43,40,3.44,BR,23/07/22
163,happy valley-goose bay,53.3168,-60.3315,60.84,99,100,4.05,CA,23/07/22
164,kone,-21.0595,164.8658,66.09,65,71,4.63,NC,23/07/22
165,luanda,-8.8368,13.2343,71.6,83,75,9.22,AO,23/07/22
166,yeghegnadzor,39.7639,45.3324,69.64,59,96,6.15,AM,23/07/22
167,chinsali,-10.5414,32.0816,58.69,61,5,5.95,ZM,23/07/22
168,nova sintra,14.8667,-24.7167,72.75,78,8,18.01,CV,23/07/22
169,sinop,41.7711,34.8709,67.86,56,0,5.03,TR,23/07/22
170,forster,-32.1667,152.5167,52.45,77,98,7.72,AU,23/07/22
171,zalari,53.5584,102.5065,55.65,81,80,4.56,RU,23/07/22
172,nuku'alofa,-21.1333,-175.2,73.26,78,7,4.99,TO,23/07/22
173,isangel,-19.55,169.2667,71.71,73,75,4.61,VU,23/07/22
174,aral,40.5156,81.2636,88.63,20,92,11.68,CN,23/07/22
175,bengkulu,-3.8004,102.2655,75.61,92,91,4.12,ID,23/07/22
176,kirakira,-10.4544,161.9205,78.69,88,100,5.73,SB,23/07/22
177,ketchikan,55.3422,-131.6461,59.47,88,100,8.05,US,23/07/22
178,port mathurin,-19.6833,63.4167,73.81,69,0,22.64,MU,23/07/22
179,sullivan,36.5168,-82.5332,83.62,59,75,4.61,US,23/07/22
180,vejle,55.7093,9.5357,56.16,96,100,6.15,DK,23/07/22
181,nema,57.5067,50.5011,52.54,89,7,6.42,RU,23/07/22
182,ust'-kut,56.7938,105.7672,58.55,76,4,2.28,RU,23/07/22
183,minas de marcona,-15.2119,-75.1103,58.64,73,47,15.17,PE,23/07/22
184,ryotsu-minato,38.0833,138.4333,76.48,84,40,0.51,JP,23/07/22
185,yuzhno-kurilsk,44.0306,145.8556,59.56,94,100,9.01,RU,23/07/22
186,mount pearl,47.5166,-52.7813,71.1,88,24,9.53,CA,23/07/22
187,saldanha,-33.0117,17.9442,54.57,82,81,3.2,ZA,23/07/22
188,kavaratti,10.5669,72.642,82.69,82,100,21.25,IN,23/07/22
189,alice springs,-23.7,133.8833,40.55,75,4,10.36,AU,23/07/22
190,tofol,5.3248,163.0078,83.37,77,100,17.58,FM,23/07/22
191,san luis de la loma,17.2706,-100.8939,90.66,59,100,7.92,MX,23/07/22
192,portland,45.5234,-122.6762,89.96,37,20,8.05,US,23/07/22
193,kukuna,9.4,-12.6667,74.1,97,90,4.68,SL,23/07/22
194,riverton,40.5219,-111.9391,105.51,15,0,8.01,US,23/07/22
195,waingapu,-9.6567,120.2641,71.56,80,97,10.4,ID,23/07/22
196,machico,32.7,-16.7667,74.03,77,40,12.66,PT,23/07/22
197,souillac,-20.5167,57.5167,71.82,80,16,14.07,MU,23/07/22
198,saint-pierre,-21.3393,55.4781,71.28,78,100,19.57,RE,23/07/22
199,bijar,35.8668,47.6051,69.49,50,7,10.49,IR,23/07/22
200,gadzhiyevo,69.2551,33.3362,48.07,83,100,12.93,RU,23/07/22
201,bikenibeu village,1.3673,173.1241,82.36,83,40,1.14,KI,23/07/22
202,progreso,21.2833,-89.6667,88.11,69,82,12.28,MX,23/07/22
203,swakopmund,-22.6833,14.5333,54.99,86,31,1.99,NA,23/07/22
204,egilsstadir,65.2653,-14.3948,53.56,84,78,1.41,IS,23/07/22
205,coquimbo,-29.9533,-71.3436,60.53,94,75,11.5,CL,23/07/22
206,cabinda,-5.55,12.2,70.45,89,14,6.87,AO,23/07/22
207,lebu,-37.6167,-73.65,52.02,82,9,6.17,CL,23/07/22
208,peringat,6.0333,102.2833,74.62,96,93,3.02,MY,23/07/22
209,tabou,4.423,-7.3528,77.27,81,100,10.18,CI,23/07/22
210,dubbo,-32.25,148.6167,35.73,93,0,10.36,AU,23/07/22
211,vila franca do campo,37.7167,-25.4333,72.01,72,24,3.13,PT,23/07/22
212,shasta lake,40.6804,-122.3708,108.63,14,100,3.96,US,23/07/22
213,greymouth,-42.4667,171.2,42.42,89,100,5.1,NZ,23/07/22
214,harstad,68.799,16.5293,58.62,86,100,1.99,NO,23/07/22
215,undurkhaan,47.3194,110.6556,58.75,70,100,4.12,MN,23/07/22
216,anadyr,64.75,177.4833,59.5,77,75,8.95,RU,23/07/22
217,north ward,-19.2454,146.8075,67.91,88,75,3.44,AU,23/07/22
218,campbell river,50.0163,-125.2446,72.25,57,5,7.67,CA,23/07/22
219,hastings,50.8552,0.5729,62.35,44,100,22.41,GB,23/07/22
220,ancud,-41.8697,-73.8203,44.73,66,74,8.23,CL,23/07/22
221,amga,60.8953,131.9608,59.31,73,85,2.73,RU,23/07/22
222,prince rupert,54.3161,-130.3201,58.69,100,100,3.44,CA,23/07/22
223,hirtshals,57.5881,9.9592,56.55,76,6,16.78,DK,23/07/22
224,melfort,52.8667,-104.6177,80.69,35,100,9.31,CA,23/07/22
225,yasinya,48.2794,24.3604,57.97,92,66,1.03,UA,23/07/22
226,nguigmi,14.2495,13.1092,87.8,49,51,7.0,NE,23/07/22
227,amnat charoen,15.9167,104.75,76.28,91,100,5.19,TH,23/07/22
228,garoowe,8.4054,48.4845,81.57,50,51,29.1,SO,23/07/22
229,bouar,5.934,15.596,66.67,91,76,1.45,CF,23/07/22
230,atafu village,-8.5421,-172.5159,83.21,70,12,7.76,TK,23/07/22
231,bel ombre,-4.6167,55.4167,76.84,85,20,17.18,SC,23/07/22
232,mount gambier,-37.8333,140.7667,46.38,82,94,4.59,AU,23/07/22
233,port lincoln,-34.7333,135.8667,51.75,70,16,12.86,AU,23/07/22
234,ulanhot,46.0833,122.0833,64.9,98,100,15.05,CN,23/07/22
235,belmonte,-15.8631,-38.8828,72.14,86,3,5.32,BR,23/07/22
236,dolores,-36.3132,-57.6792,58.66,91,100,17.49,AR,23/07/22
237,lihue,21.9789,-159.3672,80.19,86,100,10.36,US,23/07/22
238,popondetta,-8.7537,148.2534,72.91,99,100,2.37,PG,23/07/22
239,olyokminsk,60.3736,120.4264,65.62,76,11,2.82,RU,23/07/22
240,biltine,14.5333,20.9167,89.31,37,75,2.46,TD,23/07/22
241,filey,54.21,-0.2892,60.89,92,100,4.0,GB,23/07/22
